追风筝的人,https://book.douban.com/subject/1770782/,8.9,294085人评价,为你，千千万万遍
小王子,https://book.douban.com/subject/1084336/,9.0,231063人评价,献给长成了大人的孩子们
围城,https://book.douban.com/subject/1008145/,8.9,192561人评价,对于“人艰不拆”四个字最彻底的违抗
解忧杂货店,https://book.douban.com/subject/25862578/,8.6,251423人评价,一碗精心熬制的东野牌鸡汤，拒绝很难
活着,https://book.douban.com/subject/1082154/,9.1,137291人评价,活着本身就是人生最大的意义
白夜行,https://book.douban.com/subject/3259440/,9.1,198903人评价,暗夜独行的残破灵魂，爱与恶本就难分难舍
挪威的森林,https://book.douban.com/subject/1046265/,8.0,189110人评价,村上之发轫，多少人的青春启蒙
嫌疑人X的献身,https://book.douban.com/subject/3211779/,8.9,152011人评价,数学好是一种极致的浪漫
三体,https://book.douban.com/subject/2567698/,8.8,153077人评价,你我不过都是虫子
不能承受的生命之轻,https://book.douban.com/subject/1017143/,8.5,136667人评价,朝向媚俗的一次伟大的进军
红楼梦,https://book.douban.com/subject/1007305/,9.6,124635人评价,谁解其中味？
梦里花落知多少,https://book.douban.com/subject/1016300/,7.1,147506人评价,只是青春留下的余烬
达·芬奇密码,https://book.douban.com/subject/1040771/,8.2,128864人评价,一切畅销的因素都有了
看见,https://book.douban.com/subject/20427187/,8.8,123260人评价,在这里看见中国
百年孤独,https://book.douban.com/subject/6082808/,9.2,120968人评价,尼采所谓的永劫复归，一场无始无终的梦魇
1988：我想和这个世界谈谈,https://book.douban.com/subject/5275059/,7.9,121719人评价,车手韩寒的公路小说
何以笙箫默,https://book.douban.com/subject/1461903/,7.8,119633人评价,倒追有风险，入行需谨慎
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,9.0,102761人评价,中国当代城乡生活全景
简爱,https://book.douban.com/subject/1141406/,8.5,108872人评价,灰姑娘在十九世纪
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,9.0,88084人评价,羽加迪姆勒维奥萨！
白夜行,https://book.douban.com/subject/10554308/,9.2,102099人评价,封面剧透
三体Ⅱ,https://book.douban.com/subject/3066477/,9.3,90690人评价,无边的黑暗森林，比第一部更为恢弘壮丽
